x,T,CH4,O2,H2O,CO,CO2,N2
0.007240803,521.2020449,0.70154603,0,0.022433703,0.002016482,0.058558964,0.215444822
0.007274247,519.058471,0.705338548,0,0.022455357,0.001838629,0.057611087,0.212756379
0.007307692,516.8982597,0.709125331,0,0.02247246,0.001673736,0.056658588,0.210069884
0.007341137,514.7215927,0.712906398,0,0.022484625,0.001521134,0.055702465,0.207385378
0.007374582,512.5286386,0.716681769,0,0.022491474,0.001380158,0.054743701,0.204702897
0.007408027,510.3195657,0.720451463,0,0.022492632,0.001250159,0.053783267,0.202022479
0.007441472,508.0945248,0.724215498,0,0.022487731,0.001130498,0.05282211,0.199344162
0.007474916,505.8536711,0.727973894,0,0.022476414,0.001020551,0.051861159,0.196667981
0.007508361,503.5971374,0.731726667,0,0.022458332,9.20E-04,0.050901315,0.193993972
0.007541806,501.3250524,0.735473837,0,0.022433151,8.27E-04,0.049943448,0.191322167
0.007575251,499.0375358,0.73921542,0,0.022400546,7.43E-04,0.048988398,0.188652598
0.007608696,496.7346942,0.742951435,0,0.022360212,6.66E-04,0.048036966,0.185985296
0.00764214,494.4166245,0.746681902,0,0.022311855,5.96E-04,0.047089921,0.18332029
0.007675585,492.0834159,0.750406839,0,0.022255199,5.32E-04,0.046147993,0.180657605
0.00770903,489.7351573,0.754126266,0,0.022189982,4.75E-04,0.045211872,0.177997266
0.007742475,487.3719143,0.757840205,0,0.022115968,4.22E-04,0.044282204,0.175339295
0.00777592,484.9937631,0.761548679,0,0.022032931,3.75E-04,0.043359599,0.172683711
0.007809365,482.6007566,0.765251712,0,0.02194067,3.32E-04,0.042444619,0.170030531
0.007842809,480.192961,0.768949334,0,0.021839004,2.94E-04,0.041537785,0.167379768
0.007876254,477.7704259,0.772641572,0,0.02172777,2.60E-04,0.040639575,0.164731433
0.007909699,475.3332076,0.77632846,0,0.021606828,2.29E-04,0.039750423,0.162085535
0.007943144,472.8813565,0.780010034,0,0.021476058,2.01E-04,0.03887072,0.159442077
0.007976589,470.4149286,0.783686335,0,0.021335364,1.76E-04,0.038000814,0.15680106
0.008010033,467.9339742,0.787357406,0,0.02118467,1.54E-04,0.037141008,0.154162482
0.008043478,465.438554,0.791023294,0,0.021023923,1.35E-04,0.036291567,0.151526337
0.008076923,462.9287266,0.794684054,0,0.020853093,1.18E-04,0.035452708,0.148892615
0.008110368,460.4045669,0.798339741,0,0.02067217,1.02E-04,0.034624612,0.146261304
0.008143813,457.8661413,0.801990418,0,0.020481168,8.86E-05,0.033807419,0.143632385
0.008177258,455.3135391,0.805636154,0,0.020280122,7.67E-05,0.033001227,0.141005839
0.008210702,452.7468438,0.80927702,0,0.020069089,6.62E-05,0.032206099,0.13838164
0.008244147,450.1661532,0.812913097,0,0.019848148,5.69E-05,0.031422057,0.13575976
0.008277592,447.5715871,0.816544466,0,0.019617397,4.89E-05,0.03064909,0.133140168
0.008311037,444.9632519,0.820171218,0,0.019376957,4.18E-05,0.029887151,0.130522826
0.008344482,442.3412891,0.823793448,0,0.019126967,3.57E-05,0.029136161,0.127907697
0.008377926,439.7058322,0.827411255,0,0.018867585,3.04E-05,0.028396007,0.125294737
0.008411371,437.0570405,0.831024746,0,0.018598987,2.58E-05,0.027666549,0.122683899
0.008444816,434.3950782,0.834634031,0,0.018321367,2.18E-05,0.026947617,0.120075135
0.008478261,431.7201134,0.838239224,0,0.018034936,1.84E-05,0.026239013,0.117468392
0.008511706,429.0323414,0.841840446,0,0.017739917,1.55E-05,0.025540518,0.114863615
0.008545151,426.3319529,0.84543782,0,0.017436551,1.30E-05,0.024851885,0.112260747
0.008578595,423.6191562,0.849031475,0,0.017125088,1.09E-05,0.024172853,0.109659726
0.00861204,420.8941684,0.85262154,0,0.016805792,9.04E-06,0.023503136,0.10706049
0.008645485,418.1572113,0.85620815,0,0.016478935,7.50E-06,0.022842437,0.104462977
0.00867893,415.4085154,0.859791441,0,0.016144799,6.20E-06,0.02219044,0.101867119
0.008712375,412.6483244,0.863371551,0,0.015803673,5.11E-06,0.02154682,0.099272849
0.008745819,409.8768778,0.866948619,0,0.015455849,4.19E-06,0.020911241,0.096680101
0.008779264,407.0944238,0.870522785,0,0.015101627,3.42E-06,0.020283358,0.094088806
0.008812709,404.301215,0.874094189,0,0.014741307,2.79E-06,0.019662823,0.091498894
0.008846154,401.4975043,0.877662972,0,0.014375191,2.26E-06,0.019049282,0.088910297
0.008879599,398.6835487,0.881229272,0,0.01400358,1.82E-06,0.018442381,0.086322945
0.008913043,395.859592,0.884793227,0,0.013626774,1.46E-06,0.017841763,0.083736772
0.008946488,393.0259002,0.888354974,0,0.01324507,1.17E-06,0.017247078,0.081151709
0.008979933,390.1827171,0.891914644,0,0.01285876,9.31E-07,0.016657975,0.07856769
0.009013378,387.330291,0.895472369,0,0.012468132,7.37E-07,0.016074111,0.075984651
0.009046823,384.4688657,0.899028276,0,0.012073467,5.81E-07,0.015495149,0.073402527
0.009080268,381.5986806,0.902582489,0,0.011675037,4.55E-07,0.014920761,0.070821258
0.009113712,378.7199706,0.906135127,0,0.011273108,3.55E-07,0.014350627,0.068240783
0.009147157,375.8329619,0.909686306,0,0.010867937,2.75E-07,0.013784439,0.065661044
0.009180602,372.937876,0.913236136,0,0.010459768,2.12E-07,0.013221897,0.063081988
0.009214047,370.0349303,0.916784723,0,0.010048839,1.62E-07,0.012662717,0.060503559
0.009247492,367.1243285,0.92033217,0,0.009635374,1.23E-07,0.012106625,0.057925708
0.009280936,364.2062747,0.923878571,0,0.009219589,9.32E-08,0.011553361,0.055348386
